Date, Minutes, Seconds, Distance, Notes,HR,Calories, Field 3, Field 4
"Jul 6, 2008",32,0,3,,,,,
"Jul 5, 2008",35,0,3.25,,,,,
"Jul 3, 2008",23,30,2.25,,,,,
"Jul 2, 2008",30,0,2.75,,,,,
"Jul 1, 2008",29,0,2.6,,,,,
"Jul 7, 2008",21,30,2,,,,,
"Jul 8, 2008",31,10,3,,,,,
"Jul 10, 2008",31,50,3,,,,,
"Jul 12, 2008",37,0,3.2,,,,,
"Jul 13, 2008",44,10,4,,,,,
"Jul 19, 2008",22,30,2,,,,,
"Jul 20, 2008",37,0,3.33,,,,,
"Jul 26, 2008",44,30,4.2,,,,,
"Jul 27, 2008",22,0,2,,,,,
"Jul 28, 2008",33,30,3,,,,,
"Jul 29, 2008",43,0,4,,,,,
"Jul 31, 2008",32,30,3,,,,,
"Aug 2, 2008",53,3,5,,,,,
"Aug 3, 2008",31,30,3,,,,,
"Aug 17, 2008",43,20,4,,,,,
"Aug 14, 2008",35,0,3,,,,,
"Aug 11, 2008",30,0,2.5,,,,,
"Aug 5, 2008",25,0,2.2,,,,,
"Aug 6, 2008",25,0,2.2,,,,,
"Aug 7, 2008",15,0,1.5,,,,,
"Aug 20, 2008",32,0,3,,,,,
"Aug 19, 2008",44,20,4,,,,,
"Aug 23, 2008",48,15,4.7,,,,,
"Aug 25, 2008",60,0,5.35,,,,,
"Aug 31, 2008",35,0,3.1,,,,,
"Sep 14, 2008",33,40,2.8,,,,,
"Mar 13, 2009",45,0,4.7,,,,,
"Mar 14, 2009",49,17,5.2,,,,,
"Mar 16, 2009",38,35,3.87,,,,,
"Mar 18, 2009",42,48,4.41,,,,,
"Mar 21, 2009",46,35,4.66,,,,,
"Mar 24, 2009",50,13,4.65,,,,,
"Mar 27, 2009",56,50,5.51,,,,,
"Mar 29, 2009",46,28,4.68,,,,,
"Apr 1, 2009",49,50,4.68,,,,,
"Apr 2, 2009",53,41,5.25,,,,,
"Apr 4, 2009",40,24,3.87,,,,,
"Apr 7, 2009",67,38,6.4,,,,,
"Apr 12, 2009",72,30,6.3,,,,,
"Apr 13, 2009",62,28,5.85,,,,,
"Apr 14, 2009",66,28,6.28,,,,,
"Apr 16, 2009",61,17,5.78,,,,,
"Apr 19, 2009",84,45,7.6,http://www.gmap-pedometer.com/?r=2743152,,,,
"Apr 20, 2009",96,5,8.86,http://www.gmap-pedometer.com/?r=2747828,,,,
"Apr 23, 2009",92,21,8.3,http://www.gmap-pedometer.com/?r=2757740,,,,
"Apr 24, 2009",34,52,3.16,,,,,
"Apr 25, 2009",30,43,2.81,,,,,
"Apr 26, 2009",82,20,7.55,,,,,
"Apr 28, 2009",89,21,8.11,http://www.gmap-pedometer.com/?r=2773884,,,,
"Apr 30, 2009",80,10,7.28,,,,,
"May 1, 2009",62,59,5.5,,,,,
"May 2, 2009",62,8,5.28,871 calories,,871,,
"May 3, 2009",97,27,8.07,1232; 150/162,150,1232,,
"May 4, 2009",60,59,5.39,746; 147/162,147,746,,
"May 5, 2009",112,1,9.31,1382; 148/162,148,1382,,
"May 6, 2009",32,24,3.13,414; 151/167,151,414,,
"May 7, 2009",76,59,6.52,953; 148/159,148,953,,
"May 8, 2009",80,55,6.74,990; 147/157,147,990,,
"May 9, 2009",24,54,2.02,300; 146/158,146,300,,
"May 11, 2009",100,29,8.18,1385; 158/175 -- extremely hot,158,1385,,
"May 12, 2009",95,11,8,1202; 150/161,150,1202,,
"May 13, 2009",95,15,7.99,1107; 143/177,143,1107,,
"May 15, 2009",71,20,6.49,944; 154/166,154,944,,
"May 18, 2009",78,17,6.78,1043; 155/168,155,1043,,
"May 19, 2009",96,16,8.41,1222; 150/165,150,1222,,
"May 21, 2009",117,28,10.14,1432;143/165,143,1432,,
"May 22, 2009",60,16,5.11,723; 141/162,141,723,,
"May 24, 2009",74,42,6.63,994;151/162,151,994,,
"May 25, 2009",117,13,10.18,1425;142/161,142,1425,,
"May 26, 2009",86,40,7.28,1071;144/155,144,1071,,
"May 28, 2009",96,27,8.43,1204;147/161,147,1204,,
"May 30, 2009",60,49,5.35,763; 149/161,149,763,,
"May 31, 2009",82,5,7.29,1036; 148/160,148,1036,,
